NOTICE: pid::45663 2016-12-16 13:39:32     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866772489707,  type: 'pv',  method: 'GET',  url: '/record',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:32     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866772652141,  type: 'pv',  method: 'GET',  url: '/record/list?userQ=&typeQ=&dateQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:33     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866773074115,  type: 'pv',  method: 'GET',  url: '/sport',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:39:33     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866773239256,  type: 'pv',  method: 'GET',  url: '/sport/list?sportNameQ=&sportHotQ=',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:40:56     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866856811110,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::45663 2016-12-16 13:40:57     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866857558160,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
NOTICE: pid::45767 2016-12-16 13:41:09     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:70:7) UI Server已经启动：http://127.0.0.1:8000
NOTICE: pid::45767 2016-12-16 13:41:09     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866869236791,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::45767 2016-12-16 13:41:09     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866869798129,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
NOTICE: pid::45767 2016-12-16 13:41:11     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866871620900,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::45767 2016-12-16 13:41:12     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1481866872079360,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
NOTICE: pid::37352 2016-12-21 16:22:39     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:70:7) UI Server已经启动：http://127.0.0.1:8000
NOTICE: pid::37352 2016-12-21 16:22:58     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1482308578363900,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::37352 2016-12-21 16:22:58     at Object.<anonymous> (/Users/xiaoguang/code/sousou-node/app/bootSrtap.js:53:11) { logid: 1482308578955038,  type: 'pv',  method: 'GET',  url: '/food/list?foodNameQ=&foodHotQ=',  userInfo: undefined }
